Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
TNA,Direxion Daily Small Cap Bull 3X ETF,"$1,454,350",59.08%,"5,955,831",$72.33,-1.59%,5.53%,-0.28%,106.89%,24.25%,-2.97%,"-$1,027,527,200.00","$17,003,700.00","$9,118,550.00","-$1,916,296,450.00","-$1,610,456,050.00","-$1,201,153,650.00",Leveraged Equities,2008-11-05,1.05%,N/A,$0.21,2026-06-23,$0.09,0.29%,0.00,3.31,2,100.00%,40%,20%,1099,$66.20,$74.18,$71.43,$73.94,53.99,A-,A,N/A,B-,B-,B+,A-,5.32,15.81%,20.59%,129.61,1.68%,2.99%
KORU,Direxion Daily MSCI South Korea Bull 3X ETF,"$1,441,820",85.13%,"27,253,000",$16.81,-8.84%,3.26%,-41.01%,307.69%,65.62%,1.38%,"-$1,197,708,319.49","-$91,826,950.00","$428,019,400.00","-$1,208,734,719.49","-$1,164,412,994.16","-$1,137,170,044.16",Leveraged Equities,2013-04-11,1.32%,N/A,$0.08,2026-03-24,$0.11,0.47%,0.00,4.51,2,100.00%,40%,20%,1099,$12.14,$25.61,$15.53,$18.07,42.46,B-,B+,N/A,A-,C+,B-,C,6.36,60.08%,42.82%,109.16,3.60%,1.49%
ROM,ProShares Ultra Technology,"$1,264,540",53.22%,"72,175",$144.45,-0.65%,11.01%,-1.23%,77.34%,49.73%,22.05%,"-$18,949,701.00",$0.00,"$8,474,716.00","-$75,675,219.00","-$278,008,641.00","-$485,602,153.25",Leveraged Equities,2007-01-30,0.95%,N/A,$0.09,2026-03-25,$0.02,0.06%,0.00,2.73,81,70.08%,40%,20%,1099,$120.61,$149.90,$140.46,$147.54,53.76,A-,B,N/A,B+,B+,B-,A,7.05,82.21%,71.68%,31.51,2.33%,11.11%
GGLL,Direxion Daily GOOGL Bull 2X ETF,"$1,053,440",15.46%,"1,587,383",$110.53,-2.57%,13.84%,-3.40%,174.13%,61.49%,N/A,"-$97,650,475.00","-$33,553,975.00","-$59,726,000.00","$129,572,100.00","$419,986,650.00","$441,055,850.00",Leveraged Equities,2022-09-07,0.96%,N/A,$4.72,2026-06-23,$0.58,4.27%,0.00,2.25,2,100.00%,40%,20%,1099,$87.52,$126.58,N/A,N/A,49.79,A,A,N/A,A,B-,A-,N/A,5.47,22.13%,23.28%,6.34,0.00%,0.02%
NUGT,Direxion Daily Gold Miners Index Bull 2X ETF,"$1,052,230",-22.98%,"651,017",$141.12,0.65%,18.79%,20.12%,59.53%,64.45%,20.40%,"$172,992,250.00","-$16,898,700.00","-$1,033,950.00","-$76,223,000.00","-$522,905,050.00","-$718,011,250.00",Leveraged Equities,2010-12-08,1.13%,N/A,$0.72,2026-06-23,$0.20,0.51%,0.00,1.25,2,100.00%,40%,20%,1099,$96.22,$134.03,$136.63,$144.22,56.36,A-,A-,N/A,A,C+,B,B+,6.2,52.17%,37.71%,213.26,0.56%,0.00%
AMDL,GraniteShares 2x Long AMD Daily ETF,"$1,013,530",245.14%,"5,932,023",$53.67,3.13%,0.28%,-25.00%,391.93%,N/A,N/A,"-$696,842,300.00","$68,335,100.00","$65,855,100.00","-$997,735,100.00","-$375,882,912.93","-$375,882,912.93",Leveraged Equities,2024-03-04,1.07%,N/A,$0.00,N/A,N/A,0.00%,0.00,8.75,1,100.00%,40%,20%,1099,$43.62,$77.49,$50.34,$56.15,47.01,B,A,N/A,C,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,"$962,981",-55.85%,"1,547,520",$107.57,0.40%,28.46%,26.57%,20.42%,47.65%,-6.83%,"$34,897,424.19",$0.00,$0.00,"$34,897,424.19","$149,953,474.08","$276,870,494.30",Leveraged Equities,2020-12-02,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.93,0,0.00%,40%,20%,1099,$61.63,$100.41,$102.32,$111.38,53.68,B,A-,N/A,A+,C,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UDOW,ProShares UltraPro Dow30,"$958,254",31.34%,"2,152,723",$75.61,-2.50%,9.47%,6.94%,62.72%,35.76%,15.85%,"-$19,003,085.00","$13,821,780.00","-$14,629,900.00","-$120,394,732.50","-$378,145,207.50","-$570,720,997.50",Leveraged Equities,2010-02-11,0.95%,N/A,$0.66,2026-06-24,$0.21,0.87%,0.00,2.60,35,69.00%,40%,20%,1099,$65.05,$76.61,$74.56,$77.49,60.64,A,A,N/A,B,B+,B+,A-,6.68,74.70%,55.42%,19.79,11.86%,1.17%
UYG,ProShares Ultra Financials,"$858,135",7.78%,"17,592",$98.52,-0.91%,2.62%,7.72%,18.10%,31.90%,14.07%,"-$16,528,000.00","-$2,430,002.50","-$2,324,330.00","-$58,178,472.50","-$246,795,817.50","-$328,502,102.50",Leveraged Equities,2007-01-30,0.94%,N/A,$10.67,2026-06-24,$0.11,10.83%,0.00,1.75,82,68.27%,40%,20%,1099,$90.58,$99.47,$97.63,$99.95,64.86,A-,B-,N/A,B,A-,B,A,6.33,58.10%,41.93%,22.53,7.57%,0.09%
MSFU,Direxion Daily MSFT Bull 2X ETF,"$749,068",-6.53%,"8,192,859",$38.29,5.13%,22.02%,63.77%,-24.65%,10.37%,N/A,"$349,482,325.00","-$342,883,000.00","-$522,548,775.00","$528,372,450.00","$587,504,275.00","$624,498,350.00",Leveraged Equities,2022-09-07,0.98%,N/A,$3.03,2026-06-23,$0.14,7.92%,0.00,1.89,2,100.00%,40%,20%,1099,$16.94,$38.02,$37.04,$39.03,73.04,A-,B+,N/A,B,B,A,N/A,5.92,45.06%,31.47%,33.24,0.00%,0.00%
