Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
MVLL,GraniteShares 2x Long MRVL Daily ETF,"$296,614",251.19%,"5,967,552",$25.20,-0.24%,29.83%,-31.67%,259.66%,N/A,N/A,"$196,875,296.97","-$10,655,300.00","-$5,408,500.00","$243,002,196.97","$256,582,796.97","$256,582,796.97",Leveraged Equities,2025-03-07,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,8.37,1,100.00%,40%,20%,1099,$15.49,$33.19,$23.09,$27.33,46.01,N/A,A,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SPUU,Direxion Daily S&P 500 Bull 2X ETF,"$280,290",23.34%,"21,166",$226.30,-0.47%,7.27%,3.98%,41.09%,35.81%,18.70%,"-$19,309,650.00",$0.00,"$10,534,450.00","$17,171,850.00","-$183,162,700.00","$32,322,950.00",Leveraged Equities,2014-05-28,0.60%,N/A,$2.88,2026-06-23,$0.31,1.27%,0.00,2.02,504,38.15%,40%,20%,1099,$204.01,$227.69,$225.48,$227.67,60.32,B,B-,N/A,B+,A-,B,B-,6.43,64.43%,45.32%,90.18,9.80%,8.99%
CWEB,Direxion Daily CSI China Internet Index Bull 2X ETF,"$255,801",-36.56%,"715,481",$25.11,-1.06%,2.24%,13.77%,-39.10%,-14.76%,-33.72%,"$108,797,650.00","$1,229,000.00","-$48,500.00","$91,823,050.00","-$22,352,400.00","$659,621,568.67",Leveraged Equities,2016-11-02,1.27%,N/A,$1.44,2026-06-23,$0.09,5.73%,0.00,0.81,2,100.00%,40%,20%,1099,$20.55,$26.24,$24.84,$25.27,58.12,A,B+,N/A,A,B,A-,N/A,5.99,47.43%,32.84%,12.21,0.00%,1.88%
UWM,ProShares Ultra Russell2000,"$243,059",40.38%,"309,136",$65.85,-1.02%,3.82%,0.08%,70.64%,22.63%,4.05%,"-$75,864,775.00","-$3,174,410.00","-$41,603,660.00","-$226,815,990.00","-$38,107,475.00","-$481,190,020.00",Leveraged Equities,2007-01-23,0.95%,N/A,$0.53,2026-06-24,$0.06,0.80%,0.00,2.21,1962,59.56%,40%,20%,1099,$61.94,$66.87,$65.30,$66.81,54.62,A-,B+,N/A,B-,B+,B+,A+,5.33,17.39%,20.86%,145.03,1.72%,3.05%
NOWL,GraniteShares 2x Long NOW Daily ETF,"$229,970",-59.50%,"22,317,788",$5.80,0.52%,13.06%,11.32%,-73.87%,N/A,N/A,"$188,059,200.00","-$25,462,600.00","-$82,969,500.00","$195,089,700.00","$197,156,600.00","$197,156,600.00",Leveraged Equities,2025-07-15,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,9.24,1,100.00%,40%,20%,1099,$3.85,$6.07,$5.44,$5.98,56.52,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,"$227,590",25.55%,"74,137",$227.82,-0.81%,9.06%,-3.40%,40.23%,N/A,N/A,"$73,427,276.00","$9,853,627.50","$762,207.50","$151,032,184.00","$177,776,971.25","$177,776,971.25",Leveraged Equities,2024-09-03,1.03%,N/A,$0.00,2024-12-23,$0.01,0.00%,0.00,2.71,3,100.00%,40%,20%,1099,$198.20,$242.26,$226.84,$229.25,51.93,B+,B,N/A,A,A-,C+,N/A,6.53,70.36%,49.70%,61.85,4.26%,7.26%
AVGX,Defiance Daily Target 2X Long AVGO ETF,"$217,438",19.47%,"976,791",$56.02,1.08%,16.83%,7.22%,33.99%,N/A,N/A,"-$17,413,244.00","-$28,737,505.00","-$83,655,051.00","$161,102,231.00","$195,548,451.50","$195,548,451.50",Leveraged Equities,2024-08-21,1.30%,N/A,$0.00,2024-12-31,$0.52,0.00%,0.00,4.01,3,100.00%,40%,20%,1099,$42.22,$55.44,$53.76,$58.08,56.47,B+,B+,N/A,A,C,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ERX,Direxion Daily Energy Bull 2X ETF,"$215,968",62.99%,"320,580",$90.28,2.70%,-2.79%,11.84%,81.22%,16.01%,34.77%,"-$113,585,250.00",$0.00,"-$13,751,000.00","-$131,171,600.00","-$309,635,650.00","-$1,040,899,750.00",Leveraged Equities,2008-11-06,0.91%,N/A,$1.41,2026-06-23,$0.24,1.56%,0.00,0.82,22,74.58%,40%,20%,1099,$83.04,$97.27,N/A,N/A,52.77,A-,B+,N/A,C+,B+,A,B+,6.04,49.80%,34.08%,391.54,0.00%,0.26%
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X ETF,"$212,402",62.91%,"897,600",$35.47,2.07%,-9.24%,8.31%,66.05%,0.20%,18.41%,"-$141,224,800.00","-$5,906,050.00","-$10,979,600.00","-$160,626,900.00","-$476,608,000.00","-$1,358,707,550.00",Leveraged Equities,2015-05-28,0.94%,N/A,$0.48,2026-06-23,$0.08,1.35%,0.00,1.03,52,37.61%,40%,20%,1099,$33.05,$41.05,N/A,N/A,48.90,B,A-,N/A,C,B,A,B-,6.36,60.47%,42.87%,407.7,0.00%,0.66%
NBIL,GraniteShares 2x Long NBIS Daily ETF,"$210,278",122.59%,"2,439,444",$20.11,-26.50%,-1.76%,-38.46%,N/A,N/A,N/A,"$105,095,300.00","$6,058,100.00","$63,995,000.00","$173,797,600.00","$173,797,600.00","$173,797,600.00",Leveraged Equities,2025-10-07,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,-22.10,1,100.00%,40%,20%,1099,$15.29,$34.84,$17.85,$24.47,43.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AAPU,Direxion Daily AAPL Bull 2X ETF,"$194,434",20.11%,"2,000,852",$39.85,0.96%,-13.05%,-4.02%,85.61%,25.10%,N/A,"-$14,143,125.00","$43,837,925.00","$25,162,900.00","-$255,474,475.00","-$41,116,500.00","-$11,375,525.00",Leveraged Equities,2022-08-09,0.96%,N/A,$2.97,2026-06-23,$0.22,7.45%,0.00,1.75,2,100.00%,40%,20%,1099,$37.01,$49.07,$38.97,$40.76,48.12,B+,A,N/A,C,B,A,N/A,5.61,27.27%,25.56%,1.15,0.00%,0.04%
SMCX,Defiance Daily Target 2X Long SMCI ETF,"$184,235",-65.09%,"5,729,467",$7.96,-6.35%,10.40%,-1.85%,-90.07%,N/A,N/A,"$86,543,590.43","$14,757,278.00","$15,414,908.00","$259,371,436.43","$448,740,455.33","$448,740,455.33",Leveraged Equities,2024-08-21,1.43%,N/A,$0.00,N/A,N/A,0.00%,0.00,7.76,4,100.00%,40%,20%,1099,$5.60,$9.76,$7.65,$8.55,45.71,C+,A,N/A,C,C,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FBL,GraniteShares 2x Long META Daily ETF,"$180,923",-32.30%,"1,409,981",$22.01,0.36%,19.23%,-15.05%,-54.01%,5.96%,N/A,"-$122,614,500.00","$4,570,100.00","-$19,464,100.00","$219,650,600.00","$241,819,780.00","$247,660,180.00",Leveraged Equities,2022-12-13,1.09%,N/A,$0.67,2025-12-29,$0.67,3.06%,0.00,2.98,1,100.00%,40%,20%,1099,$17.87,$31.07,N/A,N/A,45.85,B,B+,N/A,A,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IONX,Defiance Daily Target 2X Long IONQ ETF,"$177,070",-61.20%,"1,523,398",$25.26,-2.40%,20.69%,-28.24%,-71.83%,N/A,N/A,"-$14,767,169.17","$12,199,736.00","$50,268,285.00","$177,700,406.33","$255,346,871.33","$255,346,871.33",Leveraged Equities,2025-03-11,1.29%,N/A,$0.00,N/A,N/A,0.00%,0.00,13.54,3,100.00%,40%,20%,1099,$15.34,$30.68,$24.31,$27.15,42.57,N/A,A-,N/A,N/A,C,B-,N/A,5.66,31.23%,26.20%,1.23,0.00%,0.00%
CURE,Direxion Daily Healthcare Bull 3X ETF,"$176,736",10.34%,"88,563",$122.23,0.46%,1.35%,2.54%,76.72%,9.23%,1.07%,"-$22,124,950.00",$0.00,"-$6,339,200.00","-$75,463,250.00","-$90,790,800.00","-$77,726,000.00",Leveraged Equities,2011-06-15,0.94%,N/A,$1.26,2026-06-23,$0.38,1.03%,0.00,1.66,60,67.74%,40%,20%,1099,$108.33,$127.64,$118.42,$127.02,57.58,B,B+,N/A,C,B-,B+,B+,6.26,53.75%,39.25%,9.86,0.00%,5.29%
EDC,Direxion Daily MSCI Emerging Markets Bull 3X ETF,"$161,554",35.69%,"110,945",$73.27,-3.36%,6.37%,-10.40%,83.30%,35.51%,-2.08%,"-$13,130,150.00",$0.00,"$3,511,450.00","-$973,100.00","-$29,238,100.00","$2,233,250.00",Leveraged Equities,2008-12-17,1.09%,N/A,$1.07,2026-06-23,$0.40,1.46%,0.00,2.22,2,100.00%,40%,20%,1099,$63.48,$80.83,$71.46,$75.03,47.59,A,B,N/A,A-,B+,A-,A-,5.5,23.32%,23.71%,99.9,0.10%,0.15%
MVV,ProShares Ultra MidCap400,"$159,501",30.15%,"9,528",$90.47,-0.77%,3.50%,2.24%,42.02%,18.45%,7.73%,"-$13,043,477.50",$0.00,$0.00,"-$30,201,702.50","-$54,760,355.00","-$63,594,095.00",Leveraged Equities,2006-06-19,0.95%,N/A,$0.60,2026-06-24,$0.11,0.67%,0.00,2.02,402,30.88%,40%,20%,1099,$85.76,$91.27,$89.82,$91.73,55.13,B+,B-,N/A,C+,A-,B,A,5.96,46.25%,32.18%,119.98,4.87%,5.44%
XMAR,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - March,"$154,483",8.14%,"18,888",$43.18,-0.05%,0.77%,0.83%,11.70%,11.05%,N/A,"-$28,657,600.00","-$3,217,575.00","-$3,217,575.00","-$37,494,025.00","-$179,898,275.00","$85,744,250.00",Leveraged Equities,2023-03-17,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.23,2,100.00%,40%,20%,1099,$42.61,$43.18,$43.16,$43.22,65.91,C+,B,N/A,B,C+,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
OKLL,Defiance Daily Target 2x Long OKLO ETF,"$151,711",-82.83%,"13,524,800",$2.88,-4.00%,3.23%,-32.55%,-92.81%,N/A,N/A,"$328,370,426.00","-$894,280.00","$18,381,490.00","$571,686,720.00","$594,229,135.00","$594,229,135.00",Leveraged Equities,2025-06-23,1.31%,N/A,$0.00,N/A,N/A,0.00%,0.00,10.62,3,100.00%,40%,20%,1099,$2.20,$4.02,$2.74,$3.08,40.07,N/A,N/A,N/A,N/A,N/A,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MSTX,Defiance Daily Target 2x Long MSTR ETF,"$143,138",-77.69%,"5,833,461",$8.59,-3.05%,-2.28%,1.18%,-97.43%,N/A,N/A,"$208,941,834.93","-$12,838,010.00","-$18,638,252.00","$582,828,120.43","$2,145,054,662.93","$2,145,054,662.93",Leveraged Equities,2024-08-14,1.31%,N/A,$0.00,2024-12-31,$14.43,0.00%,0.00,4.17,4,100.00%,40%,20%,1099,$7.67,$9.63,$8.33,$8.85,41.20,A,A,N/A,A-,C,A+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XJUN,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - June,"$138,581",4.91%,"23,356",$45.06,-0.07%,1.42%,1.22%,8.60%,10.33%,8.61%,"-$12,932,275.00",$0.00,"-$3,335,100.00","-$18,195,475.00","-$243,792,625.00","$57,754,000.00",Leveraged Equities,2021-07-12,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.33,2,100.00%,40%,20%,1099,$44.05,$45.05,$45.02,$45.09,64.64,B-,B-,N/A,B-,A+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FNGG,Direxion Daily NYSE FANG+ Bull 2X ETF,"$137,424",25.62%,"7,169",$259.14,-0.17%,17.48%,9.65%,18.98%,50.50%,N/A,"-$12,958,250.00",$0.00,$0.00,"-$14,890,000.00","$23,672,350.00","$48,225,385.94",Leveraged Equities,2021-09-30,0.97%,N/A,$0.51,2025-12-23,$0.18,0.20%,0.00,2.82,11,96.93%,40%,20%,1099,$204.30,$261.64,$257.05,$261.76,61.10,B+,B-,N/A,A,B,B,N/A,5.26,14.23%,19.78%,31.97,3.88%,3.59%
DLLL,GraniteShares 2x Long DELL Daily ETF,"$128,985",726.46%,"2,537,249",$23.70,-10.46%,15.67%,-11.67%,614.70%,N/A,N/A,"-$18,847,012.50","-$1,367,900.00","-$26,057,900.00","-$9,871,712.50","-$5,966,012.50","-$5,966,012.50",Leveraged Equities,2025-02-13,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,7.48,2,100.00%,40%,20%,1099,$17.21,$28.38,$22.13,$25.48,52.69,N/A,A-,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BABX,GraniteShares 2x Long BABA Daily ETF,"$110,573",-35.04%,"956,566",$23.41,-2.82%,18.11%,27.92%,-15.21%,-1.81%,N/A,"-$9,519,400.00","-$2,560,300.00","-$17,730,000.00","$10,540,000.00","$82,704,100.00","$90,064,900.00",Leveraged Equities,2022-12-13,1.15%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.49,1,100.00%,40%,20%,1099,$16.92,$24.24,$23.09,$23.64,59.80,B,A-,N/A,A,C,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WEBL,Direxion Daily Dow Jones Internet Bull 3X ETF,"$105,127",1.32%,"266,527",$27.67,-3.96%,18.00%,6.96%,-10.37%,32.16%,-20.15%,"-$21,724,950.00","-$1,376,000.00","-$4,132,200.00","-$50,176,000.00","-$223,026,150.00","$76,981,850.00",Leveraged Equities,2019-11-07,0.96%,N/A,$0.04,2026-06-23,$0.03,0.15%,0.00,3.62,42,67.66%,40%,20%,1099,$20.57,$29.20,$27.08,$28.23,59.06,B+,B+,N/A,A,B-,B-,N/A,5.66,32.41%,26.28%,21.04,11.21%,1.48%
BRZU,Direxion Daily MSCI Brazil Bull 2X ETF,"$102,076",19.65%,"25,159",$94.72,-1.89%,-3.86%,4.03%,64.75%,7.34%,1.40%,"-$34,817,900.00",$0.00,$0.00,"-$79,958,650.00","-$57,277,900.00","-$108,397,350.00",Leveraged Equities,2013-04-10,1.32%,N/A,$1.78,2026-06-23,$0.43,1.88%,0.00,1.23,2,100.00%,40%,20%,1099,$92.09,$99.56,$93.96,$96.25,49.67,B,B,N/A,C+,B+,A,C,5.41,19.76%,22.24%,169.25,4.60%,1.08%
MSFL,GraniteShares 2x Long MSFT Daily ETF,"$96,960",-6.32%,"1,953,536",$25.47,5.20%,21.87%,63.79%,-23.21%,N/A,N/A,"$53,658,600.00","-$36,237,700.00","-$78,874,300.00","$85,676,400.00","$101,607,576.04","$101,607,576.04",Leveraged Equities,2024-03-04,1.15%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.70,1,100.00%,40%,20%,1099,$11.28,$25.30,$24.67,$25.95,72.83,A-,A-,N/A,A,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ROBN,T-Rex 2X Long HOOD Daily Target ETF,"$95,807",-57.11%,"1,227,022",$23.22,-4.64%,9.17%,-40.80%,-63.63%,N/A,N/A,"-$2,535,087.00","$2,054,100.00","-$19,286,148.00","-$82,882,580.00","-$27,881,859.00","-$27,881,859.00",Leveraged Equities,2025-01-31,1.05%,N/A,$0.00,N/A,N/A,0.00%,0.00,6.71,3,100.00%,40%,20%,1099,$17.55,$39.98,$22.73,$23.96,43.50,N/A,A,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CHAU,Direxion Daily CSI 300 China A Share Bull 2X ETF,"$94,247",6.39%,"137,455",$22.15,1.14%,2.31%,-7.17%,40.40%,6.47%,-8.56%,"-$49,333,850.00","$2,139,300.00","$880,450.00","-$114,212,000.00","$176,551,100.00","$179,026,600.00",Leveraged Equities,2015-04-16,1.19%,N/A,$0.45,2026-06-23,$0.12,2.05%,0.00,0.68,2,100.00%,40%,20%,1099,$20.61,$23.39,$22.07,$22.23,48.15,A,B+,N/A,A-,A-,A-,B,5.32,16.60%,20.67%,282.61,1.78%,2.80%
HIBL,Direxion Daily S&P 500 High Beta Bull 3X ETF,"$88,893",56.84%,"59,236",$103.00,-6.00%,11.71%,-10.97%,123.78%,41.39%,11.00%,"-$17,593,000.00",$0.00,"-$218,100.00","-$31,426,150.00","-$87,191,850.00","-$142,562,750.00",Leveraged Equities,2019-11-07,0.98%,N/A,$1.41,2025-12-10,$1.41,1.37%,0.00,4.35,101,34.19%,40%,20%,1099,$84.74,$116.91,$100.40,$106.95,49.07,B-,B,N/A,A-,C+,B-,N/A,6.26,54.15%,39.33%,127.31,2.90%,3.22%
RXL,ProShares Ultra Health Care,"$86,442",9.17%,"12,119",$56.18,0.04%,0.62%,2.09%,51.19%,9.92%,2.45%,"-$7,031,573.00","$590,674.00","$2,191,260.00","-$2,264,801.00","-$14,342,265.00","-$98,356,430.00",Leveraged Equities,2007-01-30,0.95%,N/A,$0.71,2026-06-24,$0.18,1.26%,0.00,1.12,61,68.57%,40%,20%,1099,$51.77,$57.85,$55.36,$57.09,57.82,B+,C+,N/A,C,A-,A-,A,6.44,64.82%,45.57%,10.23,0.00%,5.98%
BIB,ProShares Ultra Nasdaq Biotechnology,"$82,508",28.73%,"10,184",$102.70,0.79%,2.37%,-5.34%,105.43%,27.14%,-0.49%,"-$20,094,596.00",$0.00,"-$2,961,951.00","-$16,356,381.00","-$56,718,989.50","-$143,773,689.50",Leveraged Equities,2010-04-07,0.95%,N/A,$0.32,2026-03-25,$0.01,0.31%,0.00,1.20,251,66.48%,40%,20%,1099,$95.76,$103.34,$101.29,$104.55,58.13,B,C+,N/A,C+,B,A-,A,5.43,20.95%,22.53%,26.36,0.00%,17.55%
XDSQ,Innovator US Equity Accelerated ETF,"$77,427",6.25%,"12,325",$44.22,-0.18%,3.22%,2.34%,15.10%,15.28%,9.77%,"$4,656,567.50","$5,529,237.50","$6,570,577.50","$4,815,547.50","$6,517,382.50","$37,158,632.50",Leveraged Equities,2021-03-31,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.82,3,100.00%,40%,20%,1099,$42.17,$44.25,$44.16,$44.31,63.98,B-,B-,N/A,B-,A,C,N/A,6.5,72.97%,47.94%,91.35,11.51%,10.56%
MIDU,Direxion Daily Mid Cap Bull 3X ETF,"$77,125",43.52%,"21,763",$72.61,-1.08%,5.22%,3.11%,60.02%,20.64%,4.23%,"-$22,182,050.00","$3,672,150.00","$118,000.00","-$28,951,100.00","-$21,512,100.00","-$38,665,400.00",Leveraged Equities,2009-01-08,0.98%,N/A,$0.36,2026-06-23,$0.11,0.50%,0.00,3.04,401,12.13%,40%,20%,1099,$67.11,$73.60,$71.81,$74.20,54.87,B,B,N/A,C+,B,B+,B+,5.86,42.29%,30.41%,117.92,3.68%,4.12%
APPX,Tradr 2X Long APP Daily ETF,"$76,143",-85.70%,"733,689",$15.20,-39.22%,-35.23%,-62.41%,-67.65%,N/A,N/A,"$61,456,575.25","$10,302,849.00","$21,176,357.00","-$25,413,146.02","$37,131,645.98","$37,131,645.98",Leveraged Equities,2025-04-24,1.36%,N/A,$0.00,N/A,N/A,0.00%,0.00,7.39,2,100.00%,40%,20%,1099,$16.72,$34.86,$14.31,$16.59,33.03,N/A,A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XBJL,Innovator U.S. Equity Accelerated 9 Buffer ETF - July,"$75,302",6.29%,"4,148",$40.66,-0.17%,1.71%,1.42%,11.31%,11.95%,9.33%,"-$56,965,192.50",$0.00,$0.00,"-$73,862,030.00","-$35,073,302.50","$28,819,447.50",Leveraged Equities,2021-06-30,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.48,3,100.00%,40%,20%,1099,$39.51,$40.69,$40.62,$40.75,63.86,B-,B-,N/A,B-,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RSEE,Rareview Systematic Equity ETF,"$74,307",N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,N/A,"$5,896,700.00","$378,300.00","$1,560,000.00","$4,297,800.00","$15,332,800.00","$48,395,000.00",Leveraged Equities,2022-01-21,2.71%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,100.00%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.52,57.89%,49.00%,116.84,7.23%,7.21%
DIG,ProShares Ultra Energy,"$73,745",62.62%,"41,922",$58.29,3.10%,-2.98%,11.71%,80.95%,15.78%,33.71%,"-$29,455,460.00","-$2,954,630.00","-$111,435.00","-$38,435,615.00","-$83,961,115.00","-$326,013,805.75",Leveraged Equities,2007-01-30,0.95%,N/A,$0.89,2026-06-24,$0.20,1.52%,0.00,0.82,23,78.40%,40%,20%,1099,$53.55,$62.84,N/A,N/A,52.66,A-,B,N/A,C+,B+,A,A-,6.17,51.38%,36.94%,404.88,0.00%,0.23%
XOCT,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - October,"$72,922",5.91%,"30,161",$39.97,0.00%,0.63%,0.86%,10.48%,N/A,N/A,"-$21,970,650.00",$0.00,"$2,974,550.00","-$53,295,325.00","$53,296,000.00","$53,296,000.00",Leveraged Equities,2023-10-20,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.34,2,100.00%,40%,20%,1099,$39.47,$39.97,$39.97,$39.98,66.96,C+,B,N/A,B-,C+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IONL,GraniteShares 2x Long IONQ Daily ETF,"$72,315",-58.48%,"911,412",$13.68,-1.72%,21.38%,-27.00%,-67.71%,N/A,N/A,"$44,349,200.00","$5,960,000.00","$23,353,100.00","$112,392,500.00","$130,009,000.00","$130,009,000.00",Leveraged Equities,2025-03-25,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,13.55,1,100.00%,40%,20%,1099,$8.28,$16.49,$13.17,$14.70,42.86,N/A,A-,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GDXW,Roundhill Gold Miners WeeklyPay ETF,"$68,898",-8.61%,"49,287",$39.22,0.08%,11.04%,12.46%,N/A,N/A,N/A,"$78,202,232.00","-$699,286.00","-$337,775.00","$106,528,417.94","$106,528,417.94","$106,528,417.94",Leveraged Equities,2025-10-30,0.99%,N/A,$20.08,2026-08-03,$0.39,51.20%,0.00,-4.24,3,100.00%,40%,20%,1099,$31.13,$38.05,$38.58,$39.68,57.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.72,35.57%,27.28%,1.23,0.00%,0.00%
SEMY,GraniteShares YieldBOOST Semiconductor ETF,"$68,649",32.90%,"241,892",$14.05,0.57%,0.87%,-0.53%,N/A,N/A,N/A,"$82,770,900.00","-$5,585,700.00","-$12,908,100.00","$100,555,800.00","$100,555,800.00","$100,555,800.00",Leveraged Equities,2025-11-18,1.07%,N/A,$15.73,2026-07-31,$0.18,111.92%,0.00,-1.76,4,100.00%,40%,20%,1099,$13.69,$14.21,$13.94,$14.12,51.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TSLR,GraniteShares 2x Long TSLA Daily ETF,"$66,732",-58.68%,"1,764,348",$13.23,-1.05%,6.87%,-40.91%,-28.10%,N/A,N/A,"-$168,640,100.00","-$2,882,400.00","$12,582,100.00","-$216,363,800.00","$65,595,700.00","$65,595,700.00",Leveraged Equities,2023-08-22,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.51,1,100.00%,40%,20%,1099,$8.55,$24.03,$12.92,$13.52,37.09,A-,A,N/A,A,A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HIMZ,Defiance Daily Target 2X Long HIMS ETF,"$65,248",-61.88%,"625,791",$30.90,-12.74%,17.54%,-38.67%,-89.15%,N/A,N/A,"-$14,011,471.56","-$133,893.00","-$18,167,175.00","$159,246,552.44","$198,327,229.94","$198,327,229.94",Leveraged Equities,2025-03-12,1.29%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.16,3,100.00%,40%,20%,1099,$22.16,$54.83,$29.58,$33.29,44.63,N/A,A,N/A,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TECS,Direxion Daily Technology Bear 3X ETF,"$63,715",-60.09%,"853,468",$62.87,1.13%,-16.17%,-4.74%,-70.63%,-61.29%,-54.45%,"$53,250,069.29","$6,352,450.00","$1,602,869.29","$72,240,719.29","$155,963,624.44","$355,677,205.54",Leveraged Equities,2008-12-17,1.01%,N/A,$0.10,2026-06-23,$0.51,0.16%,0.00,-3.66,1,100.00%,40%,20%,1099,$59.94,$85.54,$60.72,$65.56,43.35,B,A-,N/A,C,B-,A,B,5.45,42.25%,22.92%,1.23,0.00%,0.00%
TSMU,GraniteShares 2x Long TSM Daily ETF,"$63,118",54.24%,"93,303",$67.61,1.24%,6.60%,-11.23%,140.98%,N/A,N/A,"$20,708,800.00","$28,400.00","$15,551,400.00","$23,998,700.00","$36,060,500.00","$36,060,500.00",Leveraged Equities,2024-11-11,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.58,1,100.00%,40%,20%,1099,$57.29,$75.09,$64.98,$69.74,48.70,N/A,A-,N/A,N/A,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DUSL,Direxion Daily Industrials Bull 3X ETF,"$62,734",51.46%,"17,055",$102.04,-2.21%,10.83%,5.05%,58.81%,46.42%,23.07%,"$9,747,650.00",$0.00,$0.00,"$6,100,150.00","-$1,681,850.00","-$44,525,500.00",Leveraged Equities,2017-05-03,0.97%,N/A,$7.61,2026-06-23,$0.09,7.46%,0.00,2.98,84,42.68%,40%,20%,1099,$89.19,$104.55,$100.17,$105.10,55.83,A-,B-,N/A,B+,B+,A,N/A,6.44,65.22%,45.76%,74.74,18.16%,1.57%
TSYY,GraniteShares YieldBOOST TSLA ETF,"$61,359",-25.00%,"71,774",$20.36,0.10%,0.34%,-11.41%,-17.07%,N/A,N/A,"-$126,361,283.24","-$609,000.00","-$3,944,500.00","$259,689,716.76","$377,696,316.76","$377,696,316.76",Leveraged Equities,2024-12-18,1.15%,N/A,$0.99,2026-06-12,$0.22,4.84%,0.00,1.54,4,100.00%,40%,20%,1099,$19.20,$22.97,$20.29,$20.41,34.47,N/A,A,N/A,N/A,A-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
OILU,MicroSectors Oil & Gas Exp. & Prod. 3x Leveraged ETN,"$59,349",81.07%,"191,519",$41.70,5.44%,-3.67%,17.56%,99.71%,-0.99%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,"$53,972,384.36",Leveraged Equities,2021-11-08,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.24,2,100.00%,40%,20%,1099,$36.63,$46.54,N/A,N/A,51.76,N/A,N/A,A+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
